Book|Chapter|Verse|Targum|Samaritan
1|3|15|ודבבו אשוי בינך ובין אתתה ובין זרעך ובין זרעה הוא יקשנך ריש ואתה תקשנה עקב|ואיבה אשית בינך ובין האשה ובין זרעך ובין זרעה הוא ישופך ראש ואתה תשופנו עקב
1|3|16|ולאתתה אמר סגוי אסגי צעריך ובטוניך בצער תלדי בנים וליד גבריך עזרותיך והוא ישלט ביך|ואל האשה אמר הרבה ארבה עצבוניך והריוניך בעצבון תלדי בנים ואל אישיך תשוקתיך והוא ימשל ביך
1|3|17|ולאדם אמר כד שמעת לקל אתתך ואכלת מן אילנה דפקדתך למימר לא תיכל מנה לעיטה ארעה בדילך בצער תיכלנה כל יומי חייך|ולאדם אמר כי שמעת לקול אשתך ותאכל מן העץ אשר צויתיך לאמר לא תאכל ממנו ארורה האדמה בעבורך בעצבון תאכלנה כל ימי חייך
1|3|18|וקוצן ודרדר תצמיח לך ותיכל ית עסב ברה|וקוץ ודרדר תצמיח לך ואכלת את עשב השדה
1|3|19|בדעת אפיך תיכל לחם עד עזרותך לאדמתה הלא מנה אנסבת הלא עפר אתה ולעפרך תעזר|בזעת אפיך תאכל לחם עד שובך אל האדמה כי ממנה לקחת כי עפר אתה ואל עפרך תשוב
1|3|20|וקרא האדם שם אתתה חוה הלא היא הות אם כל קעים|ויקרא האדם שם אשתו חוה כי היא היתה אם כל חי
1|3|21|ועבד יהוה אלהים לאדם ולאתתה כיתנואן אמשך ואלבשון|ויעש יהוה אלהים לאדם ולאשתו כיתנות עור וילבשם
1|3|22|ואמר יהוה אלהים הן האדם הוה כאחד מנה למעכם טב וביש וכדו דלא ישלח אדה ויסב אף מן אילן חייה וייכל ויתוחי לעלם|ויאמר יהוה אלהים הן האדם היה כאחד ממנו לדעת טוב ורע ועתה פן ישלח ידו ולקח גם מעץ החיים ואכל וחי לעולם
1|5|24|ואתהלך חנוך את האלהים וליתו הלא אנסב יתה אלהים|ויתהלך חנוך את האלהים ואיננו כי לקח אתו אלהים
1|5|25|ואקעים מתושלח שבע ואשתים שנה ואולד ית למך|ויחי מתושלח שבע וששים שנה ויוליד את למך
1|5|26|ואקעים מתושלח בתר הולדותה ית למך תלת וחמשים שנה ושש מון שנה ואולד בנים ובנן|ויחי מתושלח אחרי הולידו את למך שלש וחמשים שנה ושש מאות שנה ויוליד בנים ובנות
1|5|27|והוו כל יומי מתושלח עסרים שנה ושבע מון שנה ומית|ויהיו כל ימי מתושלח עשרים שנה ושבע מאות שנה וימת
1|5|28|ואקעים למך תלת וחמשים שנה ואולד בר|ויחי למך שלש וחמשים שנה ויוליד בן
1|5|29|וקרא ית שמה נח למימר דן ינחמנן מן עובדינן ומצער אדינן מן ארעה דלעטה יהוה|ויקרא את שמו נח לאמר זה ינחמנו ממעשינו ומעצבון ידינו מן האדמה אשר אררה יהוה
1|5|30|ואקעים למך בתר הולדותה ית נח שת מון שנה ואולד בנים ובנן|ויחי למך אחרי הולידו את נח שש מאות שנה ויוליד בנים ובנות
1|5|31|והוו כל יומי למך תלת וחמשים שנה ושת מון שנה ומית|ויהיו כל ימי למך שלש וחמשים שנה ושש מאות שנה וימת
1|5|32|והוה נח בר חמש מון שנה ואולד ית שם וית חם וית יפת|ויהי נח בן חמש מאות שנה ויוליד את שם ואת חם ואת יפת
1|6|1|והוה כד שרי אנשה למסגי על אפי ארעה ובנן אתילדו לון|ויהי כי החל האדם לרב על פני האדמה ובנות ילדו להם
1|6|2|וחזו בני האלהים ית בנאת אנשה הלא טבן אנין ונסבו לון נשים מכל דבחרו|ויראו בני האלהים את בנות האדם כי טובות הנה ויקחו להם נשים מכל אשר בחרו
1|6|3|ואמר יהוה לא ידון רוחי באנשה לעלם במטי הוא בסר ויהון יומיו מאה ועסרים שנה|ויאמר יהוה לא ידון רוחי באדם לעולם בשגם הוא בשר והיו ימיו מאה ועשרים שנה
1|6|4|וגיבריה הוו בארעה ביומיה האנון ואף בתר כן דייעלון בני האלהים לות בנאת אנשה ואולדו לון אנון גבריה דמן עלמה גברי השם|והנפלים היו בארץ בימים ההם וגם אחרי כן אשר יבאו בני האלהים אל בנות האדם ויולידו להם הם הגבורים אשר מעולם אנשי השם
1|6|5|וחזה יהוה הלא סגת בישת אנשה בארעה וכל יצרה מן חשבת לבה לות ביש כל יומה|וירא יהוה כי רבה רעת האדם בארץ וכל יצר מחשבות לבו רק רע כל היום
1|6|6|ואתנחם יהוה הלא עבד ית האדם בארעה ואצטער אל לבה|וינחם יהוה כי עשה את האדם בארץ ויתעצב אל לבו
1|6|7|ואמר יהוה אמחה ית אנשה דברית מן על אפי ארעה מן אנש עד בהמה עד רמס עד עוף שומיה הלא אתנחמת כד עבדתון|ויאמר יהוה אמחה את האדם אשר בראתי מעל פני האדמה מאדם עד בהמה עד רמש עד עוף השמים כי נחמתי כי עשיתים
1|6|8|ונח אתשקע רעים בעיני יהוה|ונח מצא חן בעיני יהוה
1|6|9|אילן תולדת נח נח גבר זכאי ושלם הוה בדריו עם האלהים התהלך נח|אלה תולדת נח נח איש צדיק ותמים היה בדרתיו את האלהים התהלך נח
1|6|10|ואולד נח תלתה בנים ית שם וית חם וית יפת|ויוליד נח שלשה בנים את שם ואת חם ואת יפת
1|6|11|ואתחבלת ארעה לקדם האלהים ואמלת ארעה שקר|ותשחת הארץ לפני האלהים ותמלא הארץ חמס
1|6|12|וחזה אלהים ית ארעה ואה אתחבלת הלא חבל כל בסר ית אורעה על ארעה|וירא אלהים את הארץ והנה נשחתה כי השחית כל בשר את דרכו על הארץ
1|6|13|ואמר אלהים לנח קץ כל בסר על לקדמי הלא אמלת ארעה שקר מקדמיון ואנה מחבל לון מן ארעה|ויאמר אלהים לנח קץ כל בשר בא לפני כי מלאה הארץ חמס מפניהם והנני משחיתים את הארץ
1|6|14|עבד לך תיבו עאי גפר קננים תעבד ית תיבותה ותשפי יתה מלגו ומלבר בשפי|עשה לך תבת עצי גפר קנים תעשה את התבה וכפרת אתה מבית ומחוץ בכפר
1|6|15|ודן דתעבד יתה תלת מון אמה ארך תיבותה וחמשים אמה אפתחה ותלתים אמה רומה|וזה אשר תעשה אתה שלש מאות אמה ארך התבה וחמשים אמה רחבה ושלשים אמה קומתה
1|6|16|נאר תעבד לתיבותה ולגו אמה תסכמנה מלעל ותרח תיבותה באיצרה תשבי ארעים תניאנאים ותליתאים תעבד|צהר תעשה לתבה ועל אמה תכלנה מלמעלה ופתח התבה בצדה תשים תחתים שנים ושלישים תעשה
1|6|17|ואני אנה מיתי ית מבולה מים על ארעה למחבלה כל בסר דבה רוח חיין מתחת שומיה כל דבארעה ישלם|ואני הנני מביא את המבול מים על הארץ להשחית כל בשר אשר בו רוח חיים מתחת השמים כל אשר בארץ יגוע
1|6|18|והקים ית קיאמי עמך ותיעל לתיבותה אתה ובניך ואתתך ונשי בניך עמך|והקמתי את בריתי אתך ובאת אל התבה אתה ובניך ואשתך ונשי בניך אתך
1|6|19|ומכל חאיתה ומכל בסרה תרים מכלה תעל לתיבותה למוחה עמך דכר ונקבה|ומכל החיה ומכל הבשר שנים מכל תביא אל התבה להחיות אתך זכר ונקבה
1|6|20|ויהי מן עופה למינה ומן בהמתה למינה ומכל דרמס על ארעה למיניון תרים מכלה ייעלון לידך למוחה|והיה מן העוף למינהו ומן הבהמה למינה ומכל אשר רמש על האדמה למיניהם שנים מכל יבאו אליך להחיות
1|6|21|ואתה סב לך מכל מיכלה דיתאכל ותכנש לידך ויהי לך ולון למיכלה|ואתה קח לך מכל מאכל אשר יאכל ואספת אליך והיה לך ולהם לאכלה
1|6|22|ועבד נח ככל דפקד יתה אלהים כן עבד|ויעש נח ככל אשר צוה אתו אלהים כן עשה
1|7|1|ואמר אלהים לנח על אתה וכל ביתך לתיבותה הלא יתך חזית זכאי לקדמי בדרה הדן|ויאמר אלהים אל נח בא אתה וכל ביתך אל התבה כי אתך ראיתי צדיק לפני בדור הזה
1|7|2|מכל בהמתה אדכיתה תסב לך שבעה שבעה דכר ונקבה ומן בהמתה דלא דכיה היא תרים תרים דכר ונקבה|מכל הבהמה הטהרה תקח לך שבעה שבעה זכר ונקבה ומן הבהמה אשר לא טהרה היא שנים שנים זכר ונקבה
1|7|3|ואף מן עוף שומיה דכיה שבעה שבעה דכר ונקבה למוחה זרע על אפי כל ארעה|וגם מעוף השמים הטהור שבעה שבעה זכר ונקבה להחיות זרע על פני כל הארץ
1|7|4|הלא ליומים עוד שבעה אנה ממטר על ארעה ארבעים יום וארבעים לילי ואמחי ית כל יקומה דעבדת מן על אפי ארעה|כי לימים עוד שבעה אנכי ממטיר על הארץ ארבעים יום וארבעים לילה ומחיתי את כל היקום אשר עשיתי מעל פני האדמה
1|7|5|ועבד נח ככל דפקדה יהוה|ויעש נח ככל אשר צוהו יהוה
1|7|6|ונח בר שת מאון שנה ומבולה הוה מים על ארעה|ונח בן שש מאות שנה והמבול היה מים על הארץ
1|7|7|ועל נח ובניו ואתתה ונשי בניו עמה לתיבותה מקדם מי מהבולה|ויבא נח ובניו ואשתו ונשי בניו אתו אל התבה מפני מי המבול
1|7|8|מן בהמתה דכיתה ומן בהמתה דליתי דכיה ומן עופה ומכל דרמס על ארעה|מן הבהמה הטהרה ומן הבהמה אשר איננה טהרה ומן העוף ומכל אשר רמש על האדמה
1|7|9|תרים תרים עלו עם נח לתיבותה דכר ונקבה כמד פקד יהוה ית נח|שנים שנים באו אל נח אל התבה זכר ונקבה כאשר צוה יהוה את נח
1|7|10|והוה לשבעתי יומיה ומי מהבולה הוו על ארעה|ויהי לשבעת הימים ומי המבול היו על הארץ
1|7|11|בשנת שת מון שנה לחיי נח בירחה תניאנה בשבעסר יום לירחה ביומה הדן אפתחו כל מעיני תהומה סגיה וארבי שומיה אפתחו|בשנת השש מאות שנה לחיי נח בחדש השני בשבעה עשר יום לחדש ביום הזה נבקעו כל מעינות תהום רבה וארבות השמים נפתחו
1|7|12|והוה אסגרה על ארעה ארבעים יום וארבעים לילי|ויהי הגשם על הארץ ארבעים יום וארבעים לילה
1|7|13|בקלום יומה הדן על נח שם חם ויפת בני נח ואתת נח ותלתת נשי בניו עמון לתיבותה|בעצם היום הזה בא נח שם חם ויפת בני נח ואשת נח ושלשת נשי בניו אתם אל התבה
1|7|14|אנון וכל חאיתה למינהוכל בהמתה למינה וכל רמסה דרמס על ארעה למינה וכל עופה למינה כל עוף כל טעאס|הם וכל החיה למינה וכל הבהמה למינה וכל הרמש הרמש על הארץ למינהו וכל העוף למינהו כל צפור כל כנף
1|7|15|ועלו עם נח לתיבותה תרים תרים מכל בסר דבה רוח חיים|ויבאו אל נח אל התבה שנים שנים מכל בשר אשר בו רוח חיים
1|7|16|ועלוליה דכר ונקבה דכר ונקבה מכל בסר עלו כמד פקד יתה אלהים וחתם יהוה בעדה|והבאים זכר ונקבה זכר ונקבה מכל בשר באו כאשר צוה אתו אלהים ויסגר יהוה בעדו
1|7|17|והוה מהבולה ארבעים יום על ארעה ואסגו מיה וסבלו ית תיבותה ורמת מן על ארעה|ויהי המבול ארבעים יום על הארץ וירבו המים וישאו את התבה ותרם מעל הארץ
1|7|18|ואגברו מיה ואסגו שריר על ארעה ואהלכת תיבותה על אפי מיה|ויגברו המים וירבו מאד על הארץ ותלך התבה על פני המים
1|7|19|ומיה אגברו שריר שריר על ארעה וכסו כל טבריה ראמיה דתחת כל שומיה|והמים גברו מאד מאד על הארץ ויכסו כל ההרים הגבחים אשר תחת כל השמים
1|7|20|חמשעסרי אמה מלעל אגברו מיה וכסו טבריה|חמש עשרה אמה מלמעלה גברו המים ויכסו ההרים
1|7|21|ושלם כל בסר דרמס על ארעה בעופה ובבהמהתה ובחאיתה ובכל שורצה דשרץ על ארעה וכל אנשה|ויגוע כל בשר הרמש על הארץ בעוף ובבהמה ובחיה ובכל השרץ השרץ על הארץ וכל האדם
1|7|22|וכל דנשמת רוח חיים באפיו מכל דבנגבובה מיתו|כל אשר נשמת רוח חיים באפיו מכל אשר בחרבה מתו
1|7|23|ואמחי כל יקומה דעל אפי ארעה מן אנש עד בהמה עד רמס עד עוף שומיה ואמחו מן ארעה ואשתיר ברן נח ודעמה בתיבותה|וימח את כל היקום אשר על פני האדמה מאדם עד בהמה עד רמש עד עוף השמים וימחו מן הארץ וישאר אך נח ואשר אתו בתבה
1|7|24|ואגברו מיה על ארעה חמשים ומאה יום|ויגברו המים על הארץ חמשים ומאת יום
1|8|1|ואדכר אלהים ית נח וית כל חאיתה וית כל בהמתה דעמה בתיבותה ואעבר אלהים רוח על ארעה ושדכו מיה|ויזכר אלהים את נח ואת כל החיה ואת כל הבהמה אשר אתו בתבה ויעבר אלהים רוח על הארץ וישכו המים
1|8|2|וסכרו מעיני תהומה וארבי שומיה ואתסכם אסגרה מן שומיה|ויסכרו מעינות תהום וארבות השמים ויכל הגשם מן השמים
1|8|3|ועזרו מיה מן על ארעה אזלו ועזרו וחסרו מיה מסכום חמשים ומאה יום|וישבו המים מעל הארץ הלכו ושבו ויחסרו המים מקץ חמשים ומאת יום
1|8|4|ושרת תיבותה בירחה שביעאה בשבעסר יום לירחה על טברי הררט|ותנח התבה בחדש השביעי בשבעה עשר יום לחדש על הרי הררט
1|8|5|ומיה הוו אזלו וחסר עד ירחה עסיראה בעסיראי באחד לירחה אתחזו ראשי טבריה|והמים היו הלכו וחסרו עד חדש העשירי בעשירי באחד לחדש נראו ראשי ההרים
1|8|6|והוה מסכום ארבעים יום ואפתח נח ית ארכת תיבותה דעבד|ויהי מקץ ארבעים יום ויפתח נח את חלון התבה אשר עשה
1|8|7|ושלח ית ערבה ונפק נפק ויתב עד נגבו מיה מן על ארעה|וישלח את הערב ויצא יצא ושב עד יבשת המים מעל הארץ
1|8|8|ושלח ית יונתה מן עמה למחזי הקלו מיה מן על אפי ארעה|וישלח את היונה מאתו לראות הקלו המים מעל פני האדמה
1|8|9|ולא אשקחת יונתה מנוח לכף רגלה ועזרת לידה לתיבותה הלא מים על אפי כל ארעה ושלח אדה ונסבה ועאל יתה לידה לתיבותה|ולא מצא היונה מנוח לכף רגלה ותשב אליו אל התבה כי מים על פני כל הארץ וישלח את ידו ויקחה ויבא אתה אליו אל התבה
1|8|10|ושרי עוד שבעה יומים אורנים ואוזף שלח ית יונתה מן תיבותה|ויחל עוד שבעת ימים אחרים ויסף שלח את היונה מן התבה
1|8|11|ועלת לידה יונתה לזבן רמש ואה טרף זית עטיף בפמה וחכם נח הלא קלו מיה מן על ארעה|ותבא אליו היונה לעת ערב והנה עלי זית טרף בפיה וידע נח כי קלו המים מעל הארץ
1|8|12|ושרי עוד שבעה יומים אורנים ושלח ית יונתה ולא אוזפת מעזרה לידה עוד|ויחל עוד שבעת ימים אחרים וישלח את היונה ולא יספה שובה אליו עוד
1|8|13|והוה באחדה ושת מון שנה מקדמהו באחד לירחה נגבו מיה מן על ארעה ואסטה נח ית כסוי תיבותה וחזה והא נגבו אפי ארעה|ויהי באחת ושש מאות שנה בראישון באחד לחדש חרבו המים מעל הארץ ויסר נח את מכסה התבה וירא והנה חרבו פני האדמה
1|8|14|ובירחה תניאנה בשבעה ועסרים יום לירחה נגבת ארעה|ובחדש השני בשבעה ועשרים יום לחדש יבשה הארץ
1|8|15|ומלל אלהים עם נח למימר|וידבר אלהים אל נח לאמר
1|8|16|פק מן תיבותה אתה ואתתך ובניך ונשי בניך עמך|צא מן התבה אתה ואשתך ובניך ונשי בניך אתך
1|8|17|וכל החיתה דעמך מכל בסרה בעופה ובבהמהתה ובכל רמסה דרמס על ארעה אפק עמך וישרצון בארעה ויפרון ויסגון על ארעה|וכל החיה אשר אתך מכל בשר בעוף ובבהמה ובכל הרמש הרמש על הארץ הוציא אתך ושרצו בארץ ופרו ורבו על הארץ
1|8|18|ונפק נח ובניו ואתתה ונשי בניו עמה|ויצא נח ובניו ואשתו ונשי בניו אתו
1|8|19|וכל חיתה וכל עופה וכל רמסה דרמס על ארעה לכרניון נפקו מן תיבותה|וכל החיה וכל העוף וכל הרמש הרמש על הארץ למשפחותיהם יצאו מן התבה
1|8|20|ובנה נח מדבח ליהוה ונסב מכל בהמתה דכיתה ומכל עופה דכיה ואסק עלן במדבחה|ויבן נח מזבח ליהוה ויקח מכל הבהמה הטהרה ומכל העוף הטהור ויעל עלות במזבח
1|8|21|ואריח יהוה ית ריח רחותה ואמר יהוה עם לבה לא אוזף עוד למלוט ית ארעה בדיל אנשה הלא יצר לב אנשה ביש מרביותה ולא אוזף עוד למקטל ית כל קעים כמד עבדת|וירח יהוה את ריח הניחח ויאמר יהוה אל לבו לא אוסיף עוד לקלל את האדמה בעבור האדם כי יצר לב האדם רע מנעריו ולא אוסיף עוד להכות את כל חי כאשר עשיתי
1|8|22|עד כל יומי ארעה זרע ועצד צנה ושרב קיץ ואסתב אימם ולילי לא יבטלון|עד כל ימי הארץ זרע וקציר קור וחם קיץ וחרף יומם ולילה לא ישבתו
1|9|1|וברך אלהים ית נח וית בניו ואמר לון פרו וסגו ומלו ית ארעה|ויברך אלהים את נח ואת בניו ויאמר להם פרו ורבו ומלאו את הארץ
1|9|2|ואימתכון ודחלתכון יי על כל חית ארעה ועל כל עוף שומיה ובכל דתרמס ארעה ובכל נונית ימה באדיכון יהבתה|ומראכם וחתתכם יהיה על כל חית הארץ ועל כל עוף השמים ובכל אשר תרמש האדמה ובכל דגי הים בידכם נתתיו
1|9|3|כל רמס דו קעים לכון יי למיכלה כירק עסב יהבת לכון ית כלה|כל רמש אשר הוא חי לכם יהיה לאכלה כירק עשב נתתי לכם את הכל
1|9|4|ברן בסר בנפשה אדמה לא תיכלון|אך בשר בנפשו דמו לא תאכלו
1|9|5|וית אדמכון לנפשהתכון אבעי מן אד כל קעים אבעינה מן אד אנשה ומן אד אנש ואחיו אבעי ית נפש אנשה|ואת דמכם לנפשתיכם אדרש מיד כל חי אדרשנו מיד האדם מיד איש ואחיו אדרש את נפש האדם
1|9|6|שפך דם אנש באנש אדמה ישתפך הלא בצלם אלהים עבד ית האדם|שפך דם האדם באדם דמו ישפך כי בצלם אלהים עשה את האדם
1|9|7|ואתון פרו וסגו ושרצו בארעה וסגו בה|ואתם פרו ורבו ושרצו בארץ ורבו בה
1|9|8|ואמר אלהים לנח ולבניו עמה למימר|ויאמר אלהים אל נח ואל בניו אתו לאמר
1|9|9|ואני אנה מקים ית קיאמי עמכון ועם זרעכון בתרכון|ואני הנני מקים את בריתי אתכם ואת זרעכם אחריכם
1|9|10|ועם כל נפשה חאיתה דעמכון בעופה ובבהמהתה ובכל חית ארעה עמכון מכל נפוקי תיבותה לכל חית ארעה|ואת כל נפש החיה אשר אתכם בעוף ובבהמה ובכל חית הארץ אתכם מכל יצאי התבה לכל חית הארץ
1|9|11|והקים ית קיאמי עמכון ולא יתעקר עוד כל בסר ממי מהבולה ולא יי עוד מהבולה למחבלה ארעה|והקמתי את בריתי אתכם ולא יכרת עוד כל בשר ממי המבול ולא יהיה עוד המבול להשחית הארץ
1|9|12|ואמר אלהים דה סימן קיאמה דאנה יהב ביני ובינכון ובין כל נפש החיתה דעמכון לדרת עלם|ויאמר אלהים זאת אות הברית אשר אני נתן ביני ובינכם ובין כל נפש החיה אשר אתכם לדרות עולם
1|9|13|ית קשתי אתן בעננה ותהי לסימן קיאם ביני ובין ארעה|את קשתי נתתי בענן והיתה לאות ברית ביני ובין הארץ
1|9|14|ויי בענוני ענן על ארעה ותתחזי קשתה בעננה|והיה בענני ענן על הארץ ונראתה הקשת בענן
1|9|15|ואדכר ית קיאמי דביני ובינכון ובין כל נפשה חאיתה דעמכון בכל בסר ולא יי עוד מיה למהבול למחבלה כל בסר|וזכרתי את בריתי אשר ביני ובינכם ובין כל נפש החיה אשר אתכם בכל בשר ולא יהיה עוד המים למבול להשחית כל בשר
1|9|16|ותהי קשתה בעננה ואחזיה לאדכרות קיאם עלם בין אלהים ובין כל נפשה חאיתה בכל בסר דעל ארעה|והיתה הקשת בענן וראיתה לאזכרה ברית עולם בין אלהים ובין כל נפש החיה בכל בשר אשר על הארץ
1|9|17|ואמר אלהים לנח דה סימן קיאמה דאקימת ביני ובין כל בסר דעל ארעה|ויאמר אלהים אל נח זאת אות הברית אשר הקמתי ביני ובין כל בשר אשר על הארץ
1|9|18|והוו בני נח נפוקיה מן תיבותה שם חם ויפת וחם הוא אבי כנען|ויהיו בני נח היוצאים מן התבה שם חם ויפת וחם הוא אבי כנען
1|9|19|תלתה אלין בני נח מן אלין אפתיאת כל ארעה|שלשה אלה בני נח מאלה נפצה כל הארץ
1|9|20|ושרי נח גברה דארעה ונצב כרם|ויחל נח איש האדמה ויטע כרם
1|9|21|ושתה מן עמרה ואתרבה ואתגלי בגו משכנה|וישת מן היין וישכר ויתגל בתוך אהלו
1|11|2|והוה במטלון ממדנע ואשקעו בקעה בארע שניער ודערו תמן|ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם
1|11|3|ואמרו אנש לעברה אתא נלבנה לבנים ונוקד לוקידה והות לון לבנתה לאבן נילוס הוה לון לטיאם|ויאמרו איש אל רעהו הבה נלבנה לבנים ונשרפה לשרפה ותהי להם הלבנה לאבן והחימר היה להם לחימר
1|11|4|ואמרו אתא נבנה לנן קריה ומגדל ורישה בחללה ונעבד לנן שם דלא נבדר על אפי כל ארעה|ויאמרו הבה נבנה לנו עיר ומגדל וראשו בשמים ונעשה לנו שם פן נפוץ על פני כל הארץ
1|11|5|ואעת יהוה למחזי ית קרתה וית מגדלה דבנו בני אנשה|וירד יהוה לראות את העיר ואת המגדל אשר בנו בני האדם
1|11|6|ואמר יהוה הא עם אחד וספבה אחדה לכלון ודן שרוון למעבד וכדו לא יתבצר מנון כל דיזמנון למעבד|ויאמר יהוה הן עם אחד ושפה אחת לכלם וזה החלם לעשות ועתה לא יבצר מהם כל אשר יזמנו לעשות
1|11|7|אתא ניעת ונבלה תמן ספבן דלא ישמע אנש ית לשן עברה|הבה נרדה ונבלה שם שפתים אשר לא ישמע איש את שפת רעהו
1|11|8|ובדר יהוה יתון מתמן על אפי כל ארעה וקצו למבני ית קרתה וית מגדלה|ויפץ יהוה אתם משם על פני כל הארץ ויחדלו לבנות את העיר ואת המגדל
1|11|9|על כן קרי שמה בבל הלא תמן בלל יהוה ית לשן כל ארעה ומתמן בדרון יהוה על אפי כל ארעה|על כן קרא שמה בבל כי שם בלל יהוה את שפת כל הארץ ומשם הפיצם יהוה על פני כל הארץ
1|11|10|אלין תולדת שם שם בר מאה שנה ואולד ית ארפכשד תרתין שנים בתר מהבולה|אלה תולדת שם שם בן מאת שנה ויוליד את ארפכשד שנתים אחרי המבול
1|11|11|ואקעים שם בתר הולדותה ית ארפכשד חמש מון שנה ואולד בנין ובנן והוו כל יומי שם שת מון שנה ומית|ויחי שם אחרי הולידו את ארפכשד חמש מאות שנה ויוליד בנים ובנות ויהיו כל ימי שם שש מאות שנה וימת
1|11|12|וארפכשד אקעים חמש ותלתים ומאה שנה ואולד ית שלח|וארפכשד חי חמש ושלשים ומאת שנה ויוליד את שלח
1|11|13|ואקעים ארפכשד בתר הולדותה ית שלח תלת שנין ותלת מון שנה ואולד בנין ובנן והוו כל יומי ארפכשד תמני ותלתים שנה וארבע מון שנה ומית|ויחי ארפכשד אחרי הולידו את שלח שלש שנים ושלש מאות שנה ויוליד בנים ובנות ויהיו כל ימי ארפכשד שמנה ושלשים שנה וארבע מאות שנה וימת
1|11|14|ואקעים שלח תלתין שנה ומאה שנה ואולד ית עבר|ויחי שלח שלשים שנה ומאת שנה ויוליד את עבר
1|11|15|ואקעים שלח בתר הולדותה ית עבר תלת שנין ותלת מון שנה ואולד בנין ובנן והוו כל יומי שלח תלת ותלתין שנה וארבע מון שנה ומית|ויחי שלח אחרי הולידו את עבר שלש שנים ושלש מאות שנה ויוליד בנים ובנות ויהיו כל ימי שלח שלש ושלשים שנה וארבע מאות שנה וימת
1|11|16|ואקעים עבר ארבע ותלתין ומאה שנה ואולד ית פלג|ויחי עבר ארבע ושלשים ומאת שנה ויוליד את פלג
1|11|17|ואקעים עבר בתר הולדותה ית פלג שבעים שנה ומאתים שנה ואולד בנין ובנן והוו כל יומי עבר ארבע שנים וארבע מון שנה ומית|ויחי עבר אחרי הולידו את פלג שבעים שנה ומאתים שנה ויוליד בנים ובנות ויהיו כל ימי עבר ארבע שנים וארבע מאות שנה וימת
1|11|18|ואקעים פלג תלתין שנה ומאה שנה ואולד ית רעו|ויחי פלג שלשים שנה ומאת שנה ויוליד את רעו
1|11|19|ואקעים פלג בתר הולדותה ית רעו אשע שנים ומאה שנה ואולד בנים ובנן והוו כל יומי פלג אשע ותלתים ומאתים שנה ומית|ויחי פלג אחרי הולידו את רעו תשע שנים ומאת שנה ויוליד בנים ובנות ויהיו כל ימי פלג תשע ושלשים ומאתים שנה וימת
1|11|20|ואקעים רעו תרתין ותלתין ומאה שנה ואולד ית שרוג|ויחי רעו שתים ושלשים ומאת שנה ויוליד את שרוג
